,content
0,"['two', 'single', 'layon', 'phoenix', 'concordant', 'mine', 'nameneither', 'dead', 'natures', 'breastto', 'true', 'infirmity', 'prayer', 'end', 'sight', 'asunder', 'save', 'thus', 'essence', 'obey', 'divining', 'augur', 'swan', 'breath', 'whereupon', 'one', 'wings', 'leaving', 'thou', 'troop', 'gender', 'mongst', 'go', 'whose', 'shrieking', 'hearts', 'brag', 'married', 'made', 'lovd', 'double', 'compounded', 'urn', 'doth', 'truth', 'saw', 'cannot', 'mutual', 'near', 'fair', 'cinders', 'sable', 'simple', 'seentwixt', 'crow', 'lie', 'makstwith', 'supremes', 'hence', 'cried', 'commence', 'sole', 'interdictevery', 'parts', 'eternity', 'turtles', 'arabian', 'stars', 'come', 'repairthat', 'trumpet', 'right', 'takst', 'dated', 'let', 'buried', 'queen', 'shinethat', 'precurrer', 'fowl', 'tis', 'scene', 'keep', 'tragic', 'thy', 'wonder', 'threnosbeauty', 'remote', 'sound', 'none', 'foul', 'shalt', 'number', 'requiem', 'chastity', 'death', 'posterity', 'rightflaming', 'anthem', 'seem', 'bird', 'treble', 'slain', 'lest', 'king', 'turtle', 'chaste', 'enclosd', 'distance', 'mourners', 'grow', 'wing', 'fevers', 'eagle', 'harbinger', 'space', 'nest', 'rarity', 'called', 'remain', 'either', 'simplicity', 'grace', 'others', 'treeherald', 'tyrant', 'beauty', 'neither', 'birds', 'may', 'lack', 'self', 'constancy', 'session', 'obsequy', 'property', 'sad', 'dove', 'twainseemeth', 'co', 'givst', 'fiend', 'chorus', 'division', 'priest', 'love', 'loudest', 'defunctive', 'confounded', 'strict', 'threneto', 'loyal', 'rest', 'featherd', 'white', 'together', 'appalledthat', 'surplice', 'music', 'yet', 'reason', 'fledin', 'flame', 'twainhad', 'distincts', 'twas', 'well', 'sigh']"
1,"['sent', 'made', 'fearing', 'fames', 'tell', 'seen', 'chamber', 'beauty', 'service', 'thought', 'upon', 'fancy', 'heard', 'kissing', 'mab', 'within', 'writing', 'thoughts', 'stately', 'knelt', 'sir', 'seepresent', 'humble', 'loud', 'soft', 'imagination', 'charles', 'prayed', 'coming', 'bowed', 'thin', 'thus', 'court', 'low', 'whispers', 'garment', 'like', 'reportboth', 'hewhen', 'rude', 'one', 'viewed', 'mirth', 'beenin', 'praysaid', 'majesty', 'fairy', 'presenthis', 'queen']"
2,"['proverbs', 'laws', 'golden', 'thy', 'themes', 'saw', 'circes', 'upon', 'runs', 'filthiness', 'scorning', 'monsters', 'safe', 'true', 'men', 'uncontrolled', 'sits', 'painted', 'excels', 'far', 'mean', 'hue', 'puts', 'feigned', 'old', 'virtues', 'fables', 'beyond', 'high', 'authentically', 'dreams', 'vice', 'extreme']"
3,"['strangle', 'infixe', 'tumbling', 'fielde', 'retrate', 'backe', 'attonce', 'borein', 'mournd', 'obayde', 'vibehind', 'since', 'gate', 'looked', 'antique', 'low', 'arre', 'stile', 'never', 'lyewatching', 'eye', 'prop', 'corage', 'offred', 'enhaunst', 'mounted', 'furthest', 'still', 'perceable', 'byte', 'wrapt', 'freshly', 'hastily', 'smooth', 'mightie', 'noyance', 'side', 'dayly', 'falsest', 'cloud', 'slept', 'yong', 'came', 'hope', 'isle', 'fain', 'took', 'loose', 'vertuous', 'resort', 'nurst', 'shepheard', 'cell', 'wote', 'lives', 'study', 'adord', 'infor', 'afflicted', 'man', 'creatures', 'shameof', 'gazd', 'slow', 'lo', 'filthie', 'goodly', 'knowof', 'knight', 'griefe', 'king', 'aspine', 'strove', 'ydle', 'girlond', 'faile', 'murdrous', 'evill', 'plaine', 'badge', 'loves', 'enragd', 'dard', 'destiniehath', 'led', 'returning', 'dale', 'xxxviiiand', 'spent', 'goes', 'favored', 'homebred', 'shine', 'fowle', 'warres', 'high', 'gathered', 'making', 'amate', 'damned', 'throughout', 'cleane', 'depart', 'endof', 'two', 'toy', 'oaten', 'steepein', 'cameof', 'hooke', 'feend', 'wake', 'schooled', 'shoulder', 'beames', 'ere', 'hands', 'feast', 'dogges', 'blustring', 'dismounted', 'displaidwere', 'quakes', 'strength', 'false', 'conqueroursand', 'heavens', 'xviiimuch', 'lambe', 'platane', 'passion', 'brest', 'wade', 'mantle', 'maske', 'doth', 'prince', 'itcast', 'constrain', 'slaine', 'plaint', 'dayes', 'past', 'overspred', 'wayes', 'wicked', 'winis', 'bowels', 'seeme', 'lord', 'shall', 'findes', 'choosing', 'mixt', 'cole', 'baite', 'upon', 'inly', 'sound', 'sunne', 'aghast', 'nightin', 'griesly', 'prayse', 'wringing', 'swarming', 'liquid', 'serpents', 'warre', 'everlasting', 'hurt', 'much', 'drouping', 'queenes', 'sterne', 'slyhe', 'drunke', 'foorth', 'wander', 'rushed', 'swolne', 'blacke', 'archimago', 'care', 'turnd', 'distresse', 'champion', 'thoughts', 'seene', 'bare', 'swowne', 'stood', 'smoke', 'smart', 'leptas', 'wondrous', 'wimpled', 'mirrhe', 'tide', 'parbreake', 'xxxvithe', 'procure', 'undeserved', 'wrapping', 'chaunge', 'streame', 'contend', 'wherein', 'perill', 'free', 'causes', 'impe', 'things', 'steppe', 'guile', 'quiet', 'dazd', 'hanging', 'vildly', 'song', 'hasty', 'tell', 'blazon', 'service', 'mumbled', 'borne', 'sleepers', 'frame', 'forward', 'mischiefe', 'bidding', 'cladd', 'adventure', 'bathed', 'cedar', 'simple', 'graces', 'broad', 'xliiithe', 'ruddy', 'soundly', 'forge', 'strong', 'threatning', 'morne', 'uncouth', 'deare', 'pleasure', 'floud', 'unto', 'throw', 'unwonted', 'taske', 'sky', 'beware', 'chast', 'later', 'night', 'xlixin', 'ladies', 'wast', 'winges', 'gently', 'bids', 'silence', 'xxixat', 'lasie', 'endlesse', 'mought', 'blushing', 'sufferance', 'wastfull', 'waite', 'eke', 'inke', 'sent', 'blake', 'dye', 'staide', 'length', 'disdainefull', 'voyde', 'soft', 'tidings', 'forces', 'iiiupon', 'put', 'reward', 'dartat', 'silver', 'disdaine', 'shrouded', 'people', 'toward', 'innocent', 'yoretheir', 'daunger', 'well', 'vine', 'victorie', 'nameof', 'markes', 'enimies', 'despight', 'xviiwhich', 'ruth', 'sore', 'filthy', 'spright', 'faint', 'obedient', 'read', 'highest', 'owne', 'dauncing', 'shew', 'apart', 'sat', 'grasping', 'thou', 'popes', 'body', 'plaintes', 'said', 'outwell', 'combrous', 'follow', 'sleepe', 'rue', 'even', 'vertue', 'mell', 'godly', 'whereto', 'magick', 'xlvinow', 'fell', 'paine', 'warlike', 'deadly', 'winne', 'ocean', 'spring', 'awake', 'leman', 'diverse', 'perceivd', 'waya', 'burnisht', 'ayre', 'shore', 'biddes', 'intenta', 'angry', 'leavemy', 'christall', 'rocke', 'abuse', 'breedten', 'welled', 'aegyptian', 'like', 'lall', 'scepters', 'ladie', 'partly', 'lag', 'usage', 'xxvher', 'humour', 'witt', 'wandring', 'begin', 'neare', 'sad', 'lulle', 'warnes', 'comfort', 'love', 'alas', 'lacke', 'force', 'semblance', 'fightye', 'wordes', 'dearethey', 'ancient', 'avale', 'courteous', 'deede', 'yclad', 'gentle', 'thoughtand', 'knightsuspect', 'mighty', 'gorge', 'bow', 'seemd', 'wide', 'wanton', 'xxxhe', 'softly', 'lovely', 'horribly', 'pitteous', 'willow', 'friends', 'remounted', 'thunkindly', 'ever', 'way', 'clad', 'power', 'stirre', 'xlvwho', 'countrey', 'slombring', 'oft', 'plutoes', 'unfitter', 'areedsto', 'bray', 'twoo', 'daunted', 'shaftes', 'armorie', 'enimie', 'scattred', 'bloudie', 'nigh', 'dame', 'hymen', 'feeble', 'soveraine', 'come', 'novice', 'advise', 'mens', 'fighthaving', 'rolles', 'layhis', 'wearied', 'thy', 'hill', 'selfe', 'lenger', 'light', 'slackehis', 'doubled', 'creeping', 'play', 'humble', 'shamelesse', 'first', 'call', 'weening', 'lookt', 'dying', 'xvand', 'locked', 'fountaine', 'amiddeshis', 'speake', 'calling', 'ixthe', 'liege', 'may', 'must', 'last', 'cloudes', 'mothers', 'dry', 'else', 'dwell', 'evermorehe', 'gave', 'full', 'scorne', 'suddain', 'sure', 'wydethere', 'mine', 'lowly', 'hardy', 'wight', 'living', 'around', 'emongst', 'dismayd', 'wot', 'edifyde', 'whose', 'revokethe', 'wend', 'goddesse', 'gorgon', 'groning', 'hard', 'impes', 'mistrustsome', 'beguile', 'xxivthus', 'wilde', 'anguish', 'cunningly', 'knighthood', 'vomit', 'within', 'draweth', 'reed', 'spewd', 'forced', 'wise', 'disdayning', 'find', 'breeds', 'ease', 'let', 'lye', 'bagof', 'path', 'fortune', 'thother', 'dryer', 'foes', 'longer', 'horrible', 'trouble', 'dwelling', 'sundry', 'halfe', 'mother', 'whilome', 'cave', 'withstand', 'dew', 'flying', 'maleand', 'bringher', 'braine', 'think', 'many', 'bright', 'wakefull', 'bees', 'tosse', 'messenger', 'lvlong', 'worke', 'spide', 'void', 'wherewith', 'choked', 'fulnesse', 'lond', 'hed', 'enforst', 'beech', 'shrinke', 'fire', 'forests', 'fro', 'liiilove', 'gras', 'deeme', 'maker', 'hoarie', 'heavie', 'chiefe', 'poure', 'lumpes', 'wearie', 'mood', 'forrests', 'slyding', 'silly', 'flocked', 'approching', 'alway', 'drowned', 'leading', 'prison', 'tanaquill', 'end', 'noblest', 'covert', 'traineall', 'thus', 'pleasing', 'fray', 'viiiand', 'though', 'plame', 'seeldom', 'alleies', 'point', 'thinke', 'weedes', 'downe', 'feare', 'brought', 'double', 'doubt', 'tethys', 'wisely', 'shadie', 'hand', 'toades', 'entred', 'lept', 'sayhis', 'overcast', 'stretch', 'gins', 'peepe', 'joy', 'every', 'huge', 'wasteth', 'stings', 'shroud', 'xxiiias', 'lose', 'shield', 'drizling', 'stateyou', 'artes', 'perplexitie', 'xlivthe', 'east', 'elfin', 'crall', 'poisonous', 'sense', 'world', 'thenthe', 'bring', 'dore', 'quight', 'wearinesse', 'yrockt', 'faerie', 'jove', 'morpheus', 'poyson', 'tongue', 'mortall', 'divine', 'rode', 'quoth', 'bestedd', 'spoiles', 'sting', 'dewly', 'papers', 'glorious', 'weepeth', 'steedes', 'tannoy', 'greedy', 'arrayd', 'pure', 'god', 'venus', 'glaunst', 'bellies', 'till', 'true', 'long', 'show', 'steepe', 'ah', 'flesh', 'gall', 'hy', 'traine', 'sucked', 'fertile', 'meet', 'abroad', 'thereby', 'dint', 'sacred', 'winde', 'whereat', 'strowd', 'lumpish', 'tender', 'foming', 'waking', 'cald', 'xivbut', 'dismay', 'tame', 'kindled', 'add', 'hermite', 'findeth', 'loading', 'heart', 'kindling', 'slime', 'una', 'woods', 'battell', 'fattie', 'west', 'xliand', 'encombred', 'swollen', 'feete', 'learned', 'slomber', 'taile', 'stubborne', 'rudely', 'glooming', 'best', 'hew', 'danger', 'whence', 'wet', 'please', 'advised', 'falling', 'xxxiifar', 'nothing', 'wield', 'greatest', 'sits', 'therewith', 'evening', 'xiibe', 'moralize', 'bereave', 'begun', 'loudly', 'pointed', 'sing', 'tempest', 'minde', 'fawning', 'murmuring', 'adviseto', 'tong', 'xxiithe', 'molest', 'xxxixhe', 'cypresse', 'cryes', 'saluted', 'sober', 'straight', 'heaven', 'earthly', 'lightlike', 'head', 'wit', 'sommers', 'weeds', 'send', 'hatefull', 'vanquisht', 'suddenly', 'proud', 'sallow', 'hast', 'kindes', 'pine', 'gushing', 'troublous', 'disgrace', 'xxxiiithen', 'ia', 'ayde', 'spersed', 'emong', 'dead', 'wonted', 'armor', 'deeds', 'desert', 'thee', 'shone', 'knots', 'rainedid', 'face', 'heben', 'leaves', 'chuse', 'spake', 'cursed', 'old', 'knights', 'aide', 'irkesome', 'faithful', 'sayling', 'returne', 'devoide', 'better', 'spighthe', 'rash', 'effraide', 'sleepy', 'saw', 'doubts', 'lifting', 'peoples', 'without', 'dawning', 'youth', 'heare', 'constraint', 'men', 'poets', 'house', 'birch', 'terrible', 'vele', 'fare', 'dearest', 'liiyour', 'breake', 'weaker', 'judge', 'viienforst', 'livassure', 'farreapprocht', 'entertainement', 'neerest', 'black', 'lad', 'beard', 'knitting', 'tho', 'carke', 'stouteftsoones', 'frayes', 'deepe', 'speckled', 'kept', 'himselfe', 'flight', 'tempring', 'turne', 'fantasy', 'seemes', 'lead', 'hermitage', 'ay', 'belt', 'beguiled', 'foule', 'fierce', 'sort', 'amis', 'want', 'strooke', 'content', 'dugs', 'delight', 'fill', 'gates', 'repent', 'argument', 'unknowne', 'rest', 'pathes', 'burst', 'triumphant', 'forwearied', 'didst', 'kis', 'comes', 'sights', 'feares', 'needeth', 'ydrad', 'stretcht', 'entrance', 'overflow', 'accurst', 'travelled', 'xlviithus', 'ravisht', 'shed', 'spere', 'framd', 'thine', 'discourse', 'armes', 'sight', 'braveupon', 'quietly', 'mill', 'home', 'louting', 'one', 'amazde', 'gone', 'untroubled', 'yvie', 'unpittied', 'fittest', 'harbour', 'shade', 'bent', 'faigned', 'mawa', 'cheere', 'chose', 'lively', 'xlwhose', 'shrowd', 'instructed', 'cocytus', 'promist', 'hecate', 'labour', 'winged', 'gushed', 'lady', 'forst', 'beautie', 'waters', 'perforce', 'pride', 'xxtherewith', 'evermore', 'nilus', 'art', 'death', 'satisfide', 'creature', 'pasin', 'foot', 'maple', 'hide', 'repaire', 'phoebus', 'vile', 'fancies', 'returnd', 'wore', 'pusht', 'drownd', 'chide', 'elfe', 'got', 'expeld', 'reprochfull', 'blandishment', 'grove', 'affrayd', 'queene', 'therefore', 'seekes', 'serpent', 'day', 'farre', 'thousand', 'bold', 'sagely', 'xxias', 'looke', 'hollow', 'stinke', 'funerall', 'snow', 'darksome', 'darke', 'seeming', 'verses', 'stunck', 'frogs', 'dints', 'lemans', 'die', 'joying', 'stay', 'nountruth', 'eugh', 'staves', 'striving', 'imitate', 'faire', 'crept', 'crosse', 'murmurings', 'constraintlets', 'beds', 'den', 'straunge', 'asse', 'ground', 'made', 'provoke', 'wanting', 'held', 'chaunst', 'thought', 'cannot', 'spend', 'chiefly', 'rage', 'remembrance', 'chappell', 'thickest', 'bowres', 'lyon', 'ye', 'knockt', 'round', 'stray', 'feigned', 'grate', 'contentment', 'bayted', 'boy', 'palfrey', 'hellish', 'iibut', 'hunted', 'thurst', 'fairest', 'carrie', 'dread', 'monstrous', 'xxviihis', 'worthy', 'small', 'showne', 'wrong', 'earth', 'hideunder', 'might', 'earneto', 'lynage', 'yield', 'devoure', 'doo', 'rew', 'certaine', 'triall', 'virgin', 'wound', 'froe', 'mary', 'wood', 'fit', 'ugly', 'heard', 'partesso', 'quited', 'wemens', 'land', 'grievd', 'redoubted', 'new', 'ill', 'freshest', 'faithfull', 'tract', 'misformed', 'clownish', 'muse', 'yet', 'raine', 'wayan', 'frayle', 'sage', 'lateto', 'couple', 'monster', 'xixhis', 'blade', 'xliithe', 'castsweet', 'shewes', 'sitt', 'lore', 'lin', 'pleasures', 'pricking', 'loft', 'blind', 'parent', 'shielde', 'subjection', 'guise', 'thereof', 'durtie', 'brainein', 'backward', 'lustfull', 'frend', 'xxxvarrived', 'passed', 'youthfull', 'trespas', 'seemde', 'hereby', 'valiant', 'eyes', 'bitter', 'great', 'sought', 'trenchand', 'placei', 'chearefull', 'foundat', 'noble', 'shapes', 'wounds', 'suddaine', 'weake', 'needlesse', 'keepe', 'firre', 'grypt', 'xlviiiand', 'scrynethe', 'measures', 'brood', 'right', 'allayd', 'bend', 'bale', 'carver', 'holme', 'gnattes', 'beddoth', 'speedy', 'hath', 'beaten', 'sayd', 'darkenesse', 'springon', 'wont', 'styx', 'meed', 'sonne', 'inquere', 'dreadfull', 'loathly', 'heat', 'fitt', 'blis', 'flora', 'needments', 'raw', 'turnings', 'whiter', 'beastly', 'brusheth', 'lodgings', 'bed', 'hidden', 'aged', 'trees', 'soone', 'wightmay', 'ought', 'see', 'henceforth', 'sucking', 'towne', 'eachoneof', 'taileabout', 'mudd', 'tempt', 'upstart', 'seeke', 'pas', 'stayde', 'heavenly', 'performe', 'started', 'wonne', 'sowneof', 'keptfrom', 'truth', 'harmony', 'delude', 'also', 'deepein', 'welke', 'upwound', 'time', 'detestable', 'hole', 'hart', 'laurell', 'hated', 'starke', 'dreaded', 'bore', 'lampe', 'loftie', 'constraine', 'father', 'seed', 'enemyes', 'yvorie', 'charmes', 'kingdome', 'forlorne', 'defiled', 'maylearmed', 'remaine', 'longsought', 'cynthia', 'bearing', 'chastest', 'crave', 'none', 'giusts', 'sake', 'wisedome', 'holy', 'crownd', 'retaine', 'makers', 'sharpen', 'reeds', 'gray', 'jollities', 'would', 'subdewd', 'mart', 'folds', 'birdes', 'accuse', 'space', 'xiat', 'suffered', 'foe', 'message', 'sinhe', 'avenging', 'suddeine', 'hardiment', 'cride', 'takes', 'mournefull', 'legs', 'xled', 'dragon', 'prayses', 'fed', 'mindes', 'shame', 'often', 'yvory', 'bloudy', 'hold', 'fathers', 'heapes', 'lay', 'place', 'prove', 'mouth', 'larke', 'madea', 'worldly', 'rove', 'fast', 'inward', 'ne', 'greet', 'errours', 'vouchsafe', 'fearefull', 'footing', 'bond', 'scord', 'cruell', 'vaine', 'lyes', 'desire', 'welnigh', 'counsell', 'passe', 'beside', 'store', 'starre', 'makes', 'avenge', 'doubtfull', 'trew', 'wrethed', 'daughter', 'hyding', 'banish', 'malice', 'resolvd', 'least', 'xvitheir', 'xxvithat', 'hence', 'poplar', 'seemed', 'wish', 'fly', 'yearescaptivd', 'gan', 'uproreforwasted', 'corse', 'ave', 'glory', 'descent', 'litle', 'knew', 'sire', 'waves', 'puissance', 'weene', 'proovd', 'speach', 'liand', 'xxxiva', 'dred', 'sir', 'privily', 'braunch', 'musing', 'gathred', 'mirrour', 'lap', 'stole', 'wits', 'brave', 'bands', 'saintes', 'spred', 'faith', 'solemne', 'word', 'riddes', 'hideous', 'namegreat', 'secret', 'grace', 'womans', 'weare', 'creepeth', 'flocke', 'labyrinth', 'former', 'eternall', 'enraged', 'hurling', 'could', 'teares', 'spawne', 'vso', 'hate', 'flyesfluttring', 'sence', 'dwarfe', 'blamehalfe', 'steede', 'white', 'againe', 'thorough', 'sweete', 'arownd', 'comming', 'mind', 'compeld', 'remorse', 'shepheards', 'carefull', 'whilest', 'stroke', 'succour', 'courser', 'builder', 'manly', 'mar', 'told', 'entraile', 'wildernessehis', 'prayed', 'poured', 'applyes', 'raft', 'knightly', 'bloud', 'vewen', 'downeand', 'dredlegions', 'bookes', 'displaide', 'eventyde', 'wrought', 'trickling', 'ash', 'enimy', 'xxxviithen', 'away', 'thrust', 'fate', 'bin', 'fight', 'jolly', 'playnd', 'turning', 'troubled', 'type', 'slumber', 'timely', 'bad', 'withstoodthey', 'taught', 'say', 'deformed', 'take', 'learne', 'xxviiithen', 'glistring', 'liddes', 'good', 'drowsie', 'elme', 'quake', 'vale', 'soveraigne', 'majestie', 'little', 'supper', 'adventures', 'againeshooke', 'languor', 'lust', 'happy', 'beades', 'xiiiyea', 'iva', 'spelles', 'tydings', 'raise', 'weedy', 'afore', 'noyse', 'encounters', 'annoyed', 'darknesse', 'wash', 'elsewhere', 'melt', 'wingshe', 'glas', 'plast', 'asked', 'carelesse', 'life', 'bitt', 'eyne', 'went', 'advaunst', 'words', 'benumbed', 'file', 'nine', 'lothsom', 'far', 'worship', 'tall', 'defence', 'benders', 'shend', 'fruitfull', 'dull', 'untill', 'wretched', 'sprights', 'grew', 'finde', 'shape', 'therein', 'win', 'gloriana', 'booke', 'whiles', 'swellwith', 'furious', 'sinkeher', 'monsters', 'bleeding', 'hoped', 'hither', 'blood', 'sole', 'royall', 'oake', 'left', 'female', 'olive', 'delivered', 'appeaseher', 'sprite', 'weepe', 'ones', 'amid', 'bound', 'briton', 'trumpets', 'aware', 'forth', 'threatned', 'breda', 'stearne', 'storme', 'boldly', 'pray', 'nought', 'line', 'infernall', 'dam', 'boughtes', 'dreame', 'meane', 'deaw', 'hid', 'walled', 'cause', 'succeed', 'gobbets', 'sprites', 'overblowne', 'gives', 'stopt', 'milde', 'cast', 'throng', 'tost', 'travell', 'seeing', 'indifferently', 'curbe', 'bee', 'flowre', 'paramours', 'strokesir', 'resolving', 'westerne', 'sences', 'xxxibut', 'worne', 'helpe', 'guestes', 'kings', 'milke', 'raizdwith']"
4,"['gaine', 'precious', 'loves', 'beautie', 'fees', 'longd', 'feele', 'everie', 'imagine', 'countenaunce', 'nothing', 'aire', 'long', 'sway', 'could', 'sweet', 'see', 'ah', 'fantasies', 'endles', 'love', 'paine', 'full', 'clouds', 'bee', 'majestie', 'wisht', 'thus', 'would', 'day', 'world', 'rather', 'never', 'might', 'soule', 'againe', 'sterne', 'weening', 'vaine', 'yet', 'desire', 'lips', 'continuance', 'obtaine', 'kisse', 'foolish', 'ixion', 'beares', 'still', 'sometimes']"
5,"['cherry', 'carnation', 'rarely', 'gazine', 'mansion', 'shape', 'limbs', 'ivorie', 'pearle', 'roseate', 'lipt', 'cheeks', 'wet', 'muses', 'eies', 'may', 'dies', 'lillie', 'tintrap', 'write', 'mouth', 'enticing', 'lovely', 'snowie', 'faire', 'red', 'framd', 'dims', 'crimson', 'slow', 'love', 'enduring', 'ripe', 'excels', 'oh', 'soft', 'procuring', 'hate', 'poets', 'nectar', 'make', 'teeth', 'quicke', 'front', 'might', 'hive', 'hony', 'like', 'strawberries', 'white', 'combe', 'sinne', 'compare', 'tincture', 'set', 'lips', 'body', 'poore', 'whose', 'adonis', 'correll', 'grape', 'pure', 'tongue', 'pen', 'blushing', 'bees', 'apollos', 'delicate']"
6,"['makes', 'lives', 'moves', 'among', 'moists', 'doth', 'chariot', 'virtue', 'wherewith', 'beauty', 'gives', 'change', 'spheres', 'guide', 'mistress', 'image', 'heaven', 'wears', 'orb', 'circes', 'cast', 'light', 'know', 'worth', 'fair', 'beams', 'nymphs', 'true', 'honour', 'dianas', 'night', 'dwell', 'placd', 'powers', 'time', 'knowledge', 'decks', 'slide', 'aye', 'floods', 'woods', 'dews', 'things', 'shine', 'perfect', 'force', 'eternity', 'like', 'virtues', 'knights', 'power', 'endure', 'stars', 'ground', 'abound', 'oft', 'bears', 'think', 'harmless', 'pure', 'let', 'queen', 'mortality', 'praisd', 'diana', 'glory']"
7,"['say', 'made', 'grew', 'take', 'woe', 'venus', 'young', 'scorn', 'change', 'seek', 'son', 'mistress', 'neither', 'eyes', 'fair', 'soon', 'sought', 'answered', 'show', 'could', 'night', 'victorious', 'therefore', 'prouder', 'sighing', 'graced', 'favor', 'dainty', 'repent', 'day', 'proud', 'dame', 'spake', 'rest', 'breastthat', 'importune', 'pluck', 'saying', 'coy', 'plumes', 'skill', 'wherefore', 'pine', 'boy', 'go', 'said', 'many', 'hearts', 'weeping', 'still', 'shall']"
8,"['tird', 'say', 'cold', 'thy', 'quicksilver', 'arms', 'wretch', 'thoubathd', 'sweat', 'vestal', 'scorn', 'thinkst', 'tell', 'bed', 'dead', 'poor', 'begin', 'wink', 'wake', 'spent', 'worse', 'threatnings', 'thee', 'art', 'shouldst', 'see', 'verier', 'sleep', 'since', 'callst', 'love', 'lie', 'sick', 'taper', 'stir', 'aspen', 'solicitation', 'ihad', 'repent', 'shrink', 'neglected', 'lest', 'rather', 'rest', 'preserve', 'murdress', 'thou', 'ghost', 'come', 'false', 'pinch', 'wilt', 'think', 'freefrom', 'feignd', 'whose', 'painfully', 'innocent', 'still', 'shall']"
9,"['phylyp', 'dead', 'propre', 'prytely', 'dedly', 'nones', 'se', 'swoundei', 'stare', 'noster', 'never', 'preserved', 'alsoencreaseth', 'woldehave', 'go', 'redresse', 'nus', 'late', 'eyestowarde', 'wher', 'swete', 'saw', 'gyb', 'broughtinto', 'syt', 'pyramus', 'without', 'robbedof', 'bred', 'blewe', 'thatwhich', 'alecto', 'pange', 'dame', 'jesus', 'fethers', 'corner', 'syghed', 'pater', 'acherontes', 'wynges', 'hedes', 'hayled', 'wyfe', 'frete', 'among', 'lyke', 'crave', 'sake', 'cloudy', 'rewed', 'lost', 'lyfe', 'hopafter', 'call', 'lead', 'ce', 'degre', 'hercules', 'slumbrynge', 'foule', 'may', 'vysage', 'devyse', 'bounde', 'philip', 'pale', 'sorrow', 'ant', 'rest', 'gressop', 'set', 'phillips', 'sewhat', 'hye', 'kepe', 'amen', 'gaspewhan', 'hounde', 'wellnye', 'ad', 'gib', 'fole', 'bowre', 'tymes', 'senaws', 'breath', 'betwene', 'zenophontes', 'sparowes', 'lorde', 'burnynge', 'gone', 'maner', 'moderatly', 'thre', 'doth', 'seke', 'lerned', 'wery', 'within', 'hectors', 'paynes', 'flye', 'grounde', 'handes', 'shalbe', 'heu', 'fly', 'gnat', 'lord', 'lye', 'carowe', 'saye', 'ave', 'lowe', 'whan', 'oculos', 'upon', 'mari', 'mede', 'sowreof', 'dominum', 'halfe', 'troye', 'lap', 'stole', 'jupyter', 'cap', 'many', 'hector', 'margery', 'blacke', 'wherewith', 'proserpinas', 'crommes', 'tribularer', 'wepe', 'fele', 'cat', 'fro', 'cum', 'sobbed', 'wanne', 'meos', 'white', 'payned', 'twayne', 'velvet', 'darke', 'shake', 'carefull', 'wyll', 'prynce', 'wold', 'mi', 'somtyme', 'lyp', 'wyseto', 'thesbe', 'wormes', 'though', 'nothynge', 'sawe', 'theseus', 'downe', 'afraye', 'wrange', 'els', 'flode', 'qui', 'thought', 'fa', 'phyllypes', 'edders', 'marees', 'deathwellnye', 'brestes', 'skyp', 'wo', 'avayledto', 'ye', 'sorowfull', 'colde', 'cerberus', 'soule', 'outraye', 'kepefrom', 'lyeth', 'racked', 'say', 'take', 'slayn', 'pantwhan', 'kest', 'sowle', 'bete', 'quake', 'levavi', 'blo', 'poetes', 'small', 'joye', 'slayne', 'nowe', 'nothinge', 'fyry', 'lepe', 'montes', 'mayden', 'remembre', 'blake', 'sparklynges', 'fervently', 'oftebetwene', 'loved', 'le', 'hevynesse', 'fende', 'scolefor', 'endles', 'wolde', 'waspe', 'prety', 'lerne', 'wherfore', 'pluto', 'well', 'tearys', 'god', 'ben', 'mare', 'paynewas', 'myne', 'crede', 'prest', 'dennes', 'shew', 'philyp', 'sorowe', 'bederolles', 'phyllyp', 'deepeof', 'body', 'pryafter', 'unneth', 'di', 'hert', 'phyp', 'great', 'behold', 'barke', 'butterfly', 'fell', 'urgently', 'noble', 'soules', 'estate', 'stopped', 'cracked', 'softeit', 'famous', 'makefor', 'best', 'wethat', 'medusa', 'worrowyd', 'wayled', 'clamavi', 'smokes', 'megeras', 'exprestmy', 'pray', 'hath', 'socrates', 'dyd', 'creatuer', 'beholdemy', 'like', 'remayned', 'agaynhow', 'sayd', 'phillyp', 'stounde', 'slo', 'wydow', 'panges', 'agayne', 'cheynes', 'takethis', 'skyes', 'ibut', 'sparow', 'gastly', 'sparowe', 'befell', 'rufflynge', 'myght', 'alas', 'wept', 'hatefull', 'cut', 'xi', 'hell', 'helpe', 'bo', 'pla', 'andromach', 'strayned']"
