,document,word
31,0,anthem
47,0,appalledthat
126,0,arabian
116,0,asunder
112,0,augur
108,0,beauty
140,0,bird
16,0,birds
49,0,brag
54,0,breastto
53,0,breath
80,0,buried
163,0,called
117,0,cannot
21,0,chaste
78,0,chastity
139,0,chorus
148,0,cinders
92,0,co
149,0,come
9,0,commence
155,0,compounded
66,0,concordant
118,0,confounded
23,0,constancy
7,0,cried
60,0,crow
156,0,dated
147,0,dead
87,0,death
64,0,defunctive
166,0,distance
125,0,distincts
52,0,divining
58,0,division
77,0,doth
120,0,double
104,0,dove
68,0,eagle
82,0,either
96,0,enclosd
90,0,end
102,0,essence
142,0,eternity
135,0,fair
159,0,featherd
138,0,fevers
167,0,fiend
61,0,flame
25,0,fledin
86,0,foul
69,0,fowl
123,0,gender
88,0,givst
75,0,go
85,0,grace
153,0,grow
146,0,harbinger
2,0,hearts
19,0,hence
43,0,infirmity
34,0,interdictevery
40,0,keep
50,0,king
0,0,lack
119,0,layon
81,0,leaving
6,0,lest
10,0,let
113,0,lie
98,0,loudest
26,0,lovd
79,0,love
65,0,loyal
132,0,made
48,0,makstwith
89,0,married
141,0,may
33,0,mine
130,0,mongst
84,0,mourners
124,0,music
165,0,mutual
12,0,nameneither
157,0,natures
27,0,near
41,0,neither
97,0,nest
161,0,none
115,0,number
150,0,obey
151,0,obsequy
59,0,one
5,0,others
1,0,parts
32,0,phoenix
76,0,posterity
94,0,prayer
30,0,precurrer
100,0,priest
99,0,property
95,0,queen
109,0,rarity
57,0,reason
3,0,remain
103,0,remote
39,0,repairthat
24,0,requiem
11,0,rest
55,0,right
8,0,rightflaming
162,0,sable
14,0,sad
110,0,save
63,0,saw
136,0,scene
45,0,seem
42,0,seentwixt
106,0,self
131,0,session
73,0,shalt
143,0,shinethat
17,0,shrieking
44,0,sigh
152,0,sight
18,0,simple
111,0,simplicity
154,0,single
107,0,slain
128,0,sole
28,0,sound
38,0,space
137,0,stars
105,0,strict
158,0,supremes
29,0,surplice
101,0,swan
20,0,takst
46,0,thou
114,0,threneto
93,0,threnosbeauty
160,0,thus
37,0,thy
91,0,tis
145,0,together
13,0,tragic
83,0,treble
56,0,treeherald
22,0,troop
121,0,true
51,0,trumpet
127,0,truth
164,0,turtle
62,0,turtles
70,0,twainhad
71,0,twainseemeth
72,0,twas
133,0,two
122,0,tyrant
134,0,urn
36,0,well
129,0,whereupon
67,0,white
144,0,whose
4,0,wing
15,0,wings
74,0,wonder
35,0,yet
21,1,beauty
37,1,beenin
39,1,bowed
26,1,chamber
22,1,charles
24,1,coming
43,1,court
15,1,fairy
35,1,fames
44,1,fancy
17,1,fearing
18,1,garment
19,1,heard
32,1,hewhen
23,1,humble
40,1,imagination
11,1,kissing
6,1,knelt
4,1,like
48,1,loud
27,1,low
42,1,mab
14,1,made
41,1,majesty
29,1,mirth
28,1,one
25,1,prayed
5,1,praysaid
46,1,presenthis
10,1,queen
16,1,reportboth
0,1,rude
30,1,seen
12,1,seepresent
45,1,sent
3,1,service
2,1,sir
7,1,soft
38,1,stately
1,1,tell
20,1,thin
33,1,thought
9,1,thoughts
36,1,thus
34,1,upon
47,1,viewed
31,1,whispers
13,1,within
8,1,writing
10,2,authentically
29,2,beyond
28,2,circes
15,2,dreams
24,2,excels
5,2,extreme
25,2,fables
18,2,far
9,2,feigned
16,2,filthiness
