author,content,poem name,age,type
william shakespeare,let bird loudest layon sole arabian treeherald sad trumpet whose sound chaste wings obey thou shrieking harbinger foul precurrer fiend augur fevers end troop come thou near session interdictevery fowl tyrant wing save eagle featherd king keep obsequy strict let priest surplice white defunctive music death divining swan lest requiem lack right thou treble dated crow thy sable gender makstwith breath thou givst takst mongst mourners shalt thou go anthem doth commence love constancy dead phoenix turtle fledin mutual flame hence lovd love twainhad essence one two distincts division none number love slain hearts remote yet asunder distance space seentwixt turtle queen wonder love shinethat turtle saw rightflaming phoenix sight either others mine property thus appalledthat self single natures double nameneither two one called reason confounded saw division grow together yet either neither simple well compounded cried true twainseemeth concordant one love reason reason none parts remain whereupon made threneto phoenix dove co supremes stars love chorus tragic scene threnosbeauty truth rarity grace simplicity enclosd cinders lie death phoenix nest turtles loyal breastto eternity doth rest leaving posterity twas infirmity married chastity truth may seem cannot beauty brag tis truth beauty buried urn let repairthat either true fair dead birds sigh prayer,The Phoenix and the Turtle,Renaissance,Mythology & Folklore
duchess of newcastle margaret cavendish,sir charles chamber coming writing fairy queen praysaid hewhen queen mab seepresent service majesty tell heard fames loud reportboth beauty stately court queen mab within fancy viewed thoughts bowed low fearing rude kissing garment thin fancy made knelt upon thought like one prayed whispers soft presenthis humble service mirth sent thus imagination beenin fairy court seen fairy queen,An Epilogue to the Above,Renaissance,Mythology & Folklore
thomas bastard,vice runs beyond old men saw far authentically laws scorning virtues safe golden mean sits uncontrolled upon high extreme circes thy monsters painted hue feigned filthiness true vice puts proverbs themes vice excels fables dreams,"Book 7, Epigram 42",Renaissance,Mythology & Folklore
edmund spenser,lo man whose muse whilome maske time taught lowly shepheards weeds enforst far unfitter taske trumpets sterne chaunge mine oaten reeds sing knights ladies gentle deeds whose prayses slept silence long meane sacred muse areedsto blazon broad emongst learned throng fierce warres faithful loves shall moralize song helpe holy virgin chiefe nine thy weaker novice performe thy lay forth thine everlasting scrynethe antique rolles lye hidden still faerie knights fairest tanaquill noble briton prince longsought world suffered much ill must rue undeserved wrong helpe thou weake wit sharpen dull tong thou dreaded impe highest jove faire venus sonne thy cruell dartat good knight cunningly didst rove glorious fire kindled hart lay thy deadly heben bow apart thy mother milde come mine ayde come bring triumphant mart loves gentle jollities arrayd murdrous spoiles bloudy rage allayd eke goddesse heavenly bright mirrour grace majestie divine great lady greatest isle whose lightlike phoebus lampe throughout world doth shine shed thy faire beames feeble eyne raise thoughts humble vile thinke true glorious type thine argument mine afflicted stile heare vouchsafe dearest dred ia gentle knight pricking plaine cladd mightie armes silver shielde wherein old dints deepe wounds remaine cruell markes many bloudy fielde yet armes till time never wield angry steede chide foming bitt much disdayning curbe yield full jolly knight seemd faire sitt one knightly giusts fierce encounters fitt iibut brest bloudie crosse bore deare remembrance dying lord whose sweete sake glorious badge wore dead living ever adord upon shield like also scord soveraine hope helpe right faithfull true deede word cheere seeme solemne sad yet nothing dread ever ydrad iiiupon great adventure bond greatest gloriana gave greatest glorious queene faerie lond winne worship grace earthly things crave ever rode hart earneto prove puissance battell braveupon foe new force learne upon foe dragon horrible stearne iva lovely ladie rode faire beside upon lowly asse white snow yet much whiter hideunder vele wimpled full low blacke stole throw one inly mournd sad heavie sat upon palfrey slow seemed heart hidden care line milke white lambe lad vso pure innocent lambe life every vertuous lore descent royall lynage cameof ancient kings queenes yoretheir scepters stretcht east westerne shore world subjection held till infernall feend foule uproreforwasted land expeld avenge knight far compeld vibehind farre away dwarfe lag lasie seemd ever last wearied bearing bagof needments backe thus past day cloudes suddeine overcast angry jove hideous storme rainedid poure lemans lap fast every wight shrowd constrain faire couple eke shroud fain viienforst seeke covert nigh hand shadie grove far away spide promist ayde tempest withstand whose loftie trees yclad sommers pride spred broad heavens light hide perceable power starre within pathes alleies wide footing worne leading inward farre faire harbour seemes entred arre viiiand foorth passe pleasure forward led joying heare birdes sweete harmony therein shrouded tempest dred seemd song scorne cruell sky much prayse trees straight hy sayling pine cedar proud tall vine prop elme poplar never dry builder oake sole king forrests aspine good staves cypresse funerall ixthe laurell meed mightie conqueroursand poets sage firre weepeth still willow worne forlorne paramours eugh obedient benders birch shaftes sallow mill mirrhe sweete bleeding bitter wound warlike beech ash nothing ill fruitfull olive platane round carver holme maple seeldom inward sound xled delight thus beguile way untill blustring storme overblowne weening returne whence stray cannot find path first showne wander fro wayes unknowne furthest end neerest weene makes doubt wits owne many pathes many turnings seene take diverse doubt xiat last resolving forward still fare till end finde path take beaten seemd bare like lead labyrinth tract hunted throughout length brought hollow cave amid thickest woods champion stouteftsoones dismounted courser brave dwarfe needlesse spere gave xiibe well aware quoth ladie milde least suddaine mischiefe ye rash provoke danger hid place unknowne wilde breeds dreadfull doubts oft fire without smoke perill without show therefore strokesir knight hold till triall made ah ladie said shame revokethe forward footing hidden shade vertue gives selfe light darkenesse wade xiiiyea quoth perill placei better wot though lateto wish backe returne foule disgrace yet wisedome warnes whilest foot gate stay steppe ere forced retrate wandring wood errours den monster vile god man hate therefore read beware fly fly quoth thenthe fearefull dwarfe place living men xivbut full fire greedy hardiment youthfull knight could ought staide forth unto darksome hole went looked glistring armor madea litle glooming light much like shade saw ugly monster plaine halfe like serpent horribly displaide thother halfe womans shape retaine lothsom filthie foule full vile disdaine xvand lay upon durtie ground huge long taile den overspred yet knots many boughtes upwound pointed mortall sting breda thousand yong ones dayly fed sucking upon poisonous dugs eachoneof sundry shapes yet ill favored soone uncouth light upon shone mouth crept suddain gone xvitheir dam upstart den effraide rushed forth hurling hideous taileabout cursed head whose folds displaidwere stretcht forth length without entraile lookt seeing one maylearmed point sought backe turne againe light hated deadly bale ay wont desert darknesse remaine plaine none might see see plaine xviiwhich valiant elfe perceivd leptas lyon fierce upon flying pray trenchand blade boldly keptfrom turning backe forced stay therewith enragd loudly gan bray turning fierce speckled taile advaunst threatning angry sting dismay nought aghast mightie hand enhaunst stroke head unto shoulder glaunst xviiimuch daunted dint sence dazd yet kindling rage selfe gathered round attonce beastly body raizdwith doubled forces high ground tho wrapping wrethed sterne arownd lept fierce upon shield huge traineall suddenly body wound hand foot stirre strove vaine god helpe man wrapt errours endlesse traine xixhis lady sad see sore constraint cride sir knight shew ye bee add faith unto force faint strangle else sure strangle thee heard great perplexitie gall grate griefe high disdaine knitting force got one hand free wherewith grypt gorge great paine soone loose wicked bands constraine xxtherewith spewd filthy mawa floud poyson horrible blacke full great lumpes flesh gobbets raw stunck vildly forst slackehis grasping hold turne backe vomit full bookes papers loathly frogs toades eyes lacke creeping sought way weedy gras filthy parbreake place defiled xxias old father nilus gins swellwith timely pride aegyptian vale fattie waves fertile slime outwell overflow plaine lowly dale later spring gins avale huge heapes mudd leaves wherein breedten thousand kindes creatures partly maleand partly female fruitfull seed ugly monstrous shapes elsewhere may man reed xxiithe sore annoyed knight welnigh choked deadly stinke forces faile ne longer fight whose corage feend perceivd shrinke poured forth hellish sinkeher fruitfull cursed spawne serpents small deformed monsters fowle blacke inke swarming legs crall encombred sore could hurt xxiiias gentle shepheard sweete even tide ruddy phoebus gins welke west high hill flocke vewen wide markes byte hasty supper best cloud combrous gnattes molest striving infixe feeble stings noyance rest clownish hands tender wingshe brusheth oft oft doth mar murmurings xxivthus ill bestedd fearefull shame certaine perill stood halfe furious unto foe came resolvd minde suddenly win soone lose would lin strooke manly force body full filthie sinhe raft hatefull head without remorse streame cole black bloud forth gushed corse xxvher scattred brood soone parent dearethey saw rudely falling ground groning full deadly troublous feare gathred body round weening wonted entrance foundat wide mouth withstoodthey flocked bleeding wound sucked dying mothers blood making death life eke hurt good xxvithat detestable sight much amazde see thunkindly impes heaven accurst devoure dam gazd satisfide bloudy thurst bellies swolne saw fulnesse burst bowels gushing forth well worthy endof drunke life nurst needeth lenger labour spend foes slaine contend xxviihis ladie seeing chaunst farreapprocht hast greet victorie said faire knight borne happy starre see vanquisht foes lye well worthy armorie wherein ye great glory wonne day proovd strength strong enimie first adventure many pray henceforth ever wish like succeed may xxviiithen mounted upon steede againe lady backward sought wend path kept beaten plame ne ever would way bend still follow one unto end last wood brought forward way god frend passed forth new adventure sought long way travelled heard ought xxixat length chaunst meet upon wayan aged sire long blacke weedes yclad feete bare beard hoarie gray belt booke hanging sober seemde sagely sad ground eyes lowly bent simple shew voyde malice bad way prayed went often knockt brest one repent xxxhe faire knight saluted louting low faire quited courteous asked knowof straunge adventures abroad pas ah deare sonne quoth alas silly old man lives hidden cell bidding beades day trespas tydings warre worldly trouble tell holy father sits things mell xxxibut daunger hereby doth dwell homebred evill ye desire heare straunge man tidings tell wasteth countrey farre neare said chiefly inquere shall well reward shew place wicked wight dayes doth weare knighthood foule disgrace cursed creature lives long space xxxiifar hence quoth wastfull wildernessehis dwelling living wightmay ever passe thorough great distresse sayd lady draweth toward night well wote later fightye forwearied strong wanting rest also want might sunne measures heaven day long night doth baite steedes ocean waves emong xxxiiithen sunne take sir timely rest new day new worke begin untroubled night say gives counsell best right well sir knight ye advised bin quoth aged man way winis wisely advise day spent therefore ye may take infor night knight well content godly father home went xxxiva little lowly hermitage downe dale hard forests side far resort people pasin travell froe little wydethere holy chappell edifyde wherein hermite dewly wont sayhis holy things morne eventyde thereby christall streame gently play sacred fountaine welled forth alway xxxvarrived little house fill ne looke entertainement none rest feast things noblest mind best contentment faire discourse evening pas old man pleasing wordes store well could file tongue smooth glas told saintes popes evermorehe strowd ave mary xxxvithe drouping night thus creepeth fast sad humour loading eye liddes messenger morpheus castsweet slombring deaw sleepe biddes unto lodgings guestes riddes drownd deadly sleepe findes study goes amiddeshis magick bookes artes sundry kindes seekes mighty charmes trouble sleepy mindes xxxviithen choosing wordes horrible let none read thereof verses frame spelles like terrible bad awake blacke plutoes griesly dame cursed heaven spake reprochfull shameof highest god lord life light bold bad man dard call namegreat gorgon prince darknesse dead night cocytus quakes styx put flight xxxviiiand forth cald deepe darknesse dredlegions sprights like little flyesfluttring ever damned hed waite whereto service applyes aide friends fray enimies chose two falsest twoo fittest forge true seeming lyes one gave message selfe staide worke doo xxxixhe making speedy way spersed ayre world waters wide peepe morpheus house doth hastily repaire amid bowels earth full steepe low dawning day doth never peepe dwelling tethys wet beddoth ever wash cynthia still doth steepein silver deaw ever drouping hed whiles sad night mantle black doth spred xlwhose double gates findeth locked fast one faire framd burnisht yvory silver overcast wakefull dogges farre lyewatching banish care enimy oft wont trouble gentle sleepe sprite doth passe quietly unto morpheus comes drowned deepein drowsie fit findes nothing takes keepe xliand lulle slumber soft trickling streame high rocke tumbling downeand ever drizling raine upon loft mixt murmuring winde much like sowneof swarming bees cast swowne noyse peoples troublous cryes still wont tannoy walled towne might heard carelesse quiet lyes wrapt eternall silence farre enemyes xliithe messenger approching spake wast wordes returnd vaine sound slept nought mought awake rudely thrust pusht paine whereat gan stretch againeshooke hard forced speake one dreame whose dryer brainein tost troubled sights fancies weake mumbled soft would silence breake xliiithe sprite gan boldly wake threatned unto dreaded nameof hecate whereat gan quake lifting lumpish head blamehalfe angry asked came hither quoth archimago sent stubborne sprites wisely tame bids thee send intenta fit false dreame delude sleepers sent xlivthe god obayde calling forth straight waya diverse dreame prison darke delivered downe layhis heavie head devoide carefull carke whose sences straight benumbed starke backe returning yvorie dore remounted light chearefull larke litle winges dreame borein hast unto lord left afore xlvwho charmes hidden artes made lady spright framd liquid ayre tender partesso lively like mens sight weaker sence could ravisht quight maker selfe wondrous witt nigh beguiled goodly sight white clad itcast blacke stole like seeme una fit xlvinow ydle dreame brought unto elfin knight bad fly slept soundly void evill thoughtand false shewes abuse fantasy sort schooled privily new creature borne without dew full makers guile usage slyhe taught imitate lady trew whose semblance carrie feigned hew xlviithus well instructed worke hast comming knight slomber lay one upon hardy head plast made dreame loves lustfull play nigh manly hart melt away bathed wanton blis wicked joy seemed lady lay playnd false winged boy chast hart subdewd learne dame pleasures toy xlviiiand selfe beautie soveraigne queene faire venus seemde unto bed bringher waking evermore weene chastest flowre ay springon earthly braunch daughter king loose leman vile service bound eke graces seemed sing hymen hymen dauncing around freshest flora yvie girlond crownd xlixin great passion unwonted lust wonted feare ought amis started seeming mistrustsome secret ill hidden foe lo face lady blake stole hyding bayted hooke halfe blushing offred kis gentle blandishment lovely looke like virgin true knight took lall cleane dismayd see uncouth sight halfe enraged shamelesse guise thought slaine fierce despight hasty heat tempring sufferance wise stayde hand gan himselfe adviseto prove sense tempt faigned truth wringing hands wemens pitteous wise tho weepe stirre gentle ruth noble bloud tender youth liand said ah sir liege lord love shall accuse hidden cruell fate mightie causes wrought heaven blind god doth thus amate hoped love winne certaine hate yet thus perforce bids die die dew yet rew wretched stateyou hard avenging destiniehath made judge life death indifferently liiyour owne deare sake forst first leavemy fathers kingdome stopt teares swollen hart speach seemd bereave againe begun weaker yearescaptivd fortune frayle worldly feares fly faith succour sure ayde let dye languor long teares dame quoth hath ye thus dismayd frayes ye wont comfort affrayd liiilove selfe said deare constraintlets sleepe wast wearie nightin secret anguish unpittied plaint whiles carelesse sleepe drowned quight doubtfull words made redoubted knightsuspect truth yet since nountruth knew fawning love foule disdainefull spighthe would shend said deare dame rew sake unknowne griefe unto grew livassure selfe fell ground deare life hart deeme love hold bound ne let vaine feares procure needlesse smart cause none rest depart content yet seemd appeaseher mournefull plaintes beguiled art fed words could chuse please slyding softly forth turnd ease lvlong lay musing mood much grievd think gentle dame light whose defence shed blood last dull wearinesse former fighthaving yrockt sleepe irkesome spright troublous dreame gan freshly tosse braine bowres beds ladies deare delight saw labour vaine misformed spright backe returnd againe,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore
richard barnfield,long longd see love againe still wisht never could obtaine rather world might gaine would desire loves sweet precious gaine yet soule see everie day see see still sterne countenaunce ah long continuance majestie beautie beares sway sometimes imagine see love full foolish fantasies weening kisse lips loves fees feele aire nothing aire bee thus ixion kisse clouds vaine thus ixion feele endles paine,Sonnet 16,Renaissance,Mythology & Folklore
richard barnfield,cherry lipt adonis snowie shape might compare pure ivorie white whose faire front poets pen may write whose roseate red excels crimson grape love enticing delicate soft limbs rarely framd tintrap poore gazine eies cheeks lillie carnation dies lovely tincture apollos dims lips ripe strawberries nectar wet mouth hive tongue hony combe muses like bees make mansion teeth pure pearle blushing correll set oh body sinne procuring slow love quicke hate enduring,Sonnet 17,Renaissance,Mythology & Folklore
sir walter ralegh,praisd dianas fair harmless light praisd dews wherewith moists ground praisd beams glory night praisd power powers abound praisd nymphs decks woods praisd knights true honour lives praisd force moves floods let diana shine gives heaven queen among spheres aye mistress like makes things pure eternity oft change bears beauty fair endure time wears doth chariot guide mortality orb placd virtue stars slide virtues perfect image cast knowledge pure worth know circes let dwell think,Praisd be Dianas Fair and Harmless Light,Renaissance,Mythology & Folklore
queen elizabeth i,fair young favor graced many sought mistress scorn answered therefore go go go seek importune many weeping eyes made pine woe many sighing hearts skill show prouder grew still spake therefore go go go seek importune spake fair venus son proud victorious boy saying dainty dame coy pluck plumes shall say go go go seek importune soon said change grew breastthat neither night day could take rest wherefore repent said go go go seek importune,When I Was Fair and Young,Renaissance,Mythology & Folklore
john donne,thy scorn murdress dead thou thinkst thee freefrom solicitation shall ghost come thy bed thee feignd vestal worse arms shall see thy sick taper begin wink whose thou art tird thou stir pinch wake think thou callst false sleep thee shrink poor aspen wretch neglected thoubathd cold quicksilver sweat wilt lie verier ghost say tell thee lest preserve thee since love spent ihad rather thou shouldst painfully repent threatnings rest still innocent,The Apparition,Renaissance,Mythology & Folklore
john skelton,pla ce bo di le xi dame margery fa wherfore sowle philip sparowe late slayn carowe among nones blake swete soules sake sparowes soules set bederolles pater noster qui ave mari corner crede shalbe mede whan remembre agaynhow mi philyp slayn never halfe paynewas betwene twayne pyramus thesbe befell wept wayled tearys downe hayled nothinge avayledto call phylyp agayne gyb cat hath slayne gib saye cat worrowyd thatwhich loved best exprestmy sorowfull hevynesse without redresse within stounde halfe slumbrynge swoundei fell downe grounde unneth kest myne eyestowarde cloudy skyes whan dyd beholdemy sparow dead colde creatuer woldehave rewed upon behold sewhat hevynesse dyd pange wherewith handes wrange senaws cracked though ben racked payned strayned lyfe wellnye remayned syghed sobbed robbedof sparowes lyfe mayden wydow wyfe estate ye hye lowe degre great sorowe ye myght se lerne wepe paynes dyd frete myne hert dyd bete vysage pale dead wanne blewe lead panges hatefull deathwellnye stopped breath heu heu wo ad dominum cum tribularer clamavi god nothynge els crave ibut phyllypes soule kepefrom marees deepeof acherontes well flode hell great pluto prynce endles wo foule alecto vysage blacke blo medusa mare lyke fende doth stare megeras edders rufflynge phillips fethers fyry sparklynges burnynge wynges smokes sowreof proserpinas bowre dennes darke wher cerberus doth barke theseus dyd afraye hercules dyd outraye famous poetes say hell hounde lyeth cheynes bounde gastly hedes thre jupyter pray wethat phyllyp preserved may amen say ye mi nus helpe nowe swete jesus levavi oculos meos montes wolde god zenophontes socrates wyseto shew devyse moderatly takethis sorrow makefor phylyp sparowes sake fervently shake fele body quake urgently broughtinto carefull thought like andromach hectors wyfe wery lyfe whan lost joye noble hector troye lyke maner alsoencreaseth dedly wo sparowe go prety fole wold syt stole lerned scolefor kepe cut phyllyp kepe cut velvet cap wold syt upon lap seke small wormes somtyme white bred crommes many tymes oftebetwene brestes softeit wolde lye rest propre prest somtyme wolde gaspewhan sawe waspe fly gnat wolde flye prytely wold pantwhan saw ant lord wolde pryafter butterfly lorde wolde hopafter gressop whan sayd phyp phyp wold lepe skyp take lyp alas wyll slo phillyp gone fro,The Book of Phillip Sparrow,Renaissance,Mythology & Folklore
